tile_id,year,area_ha
118946_1013825,2019,6688.191254901961
118946_1013825,2020,4637.46368627451
118946_1013825,2021,5145.763019607844
118946_1013825,2022,3978.5414509803927
118946_1013825,2023,4400.650509803922
118946_1013825,2024,3930.142392156863
118946_1038825,2019,8685.388392156861
118946_1038825,2020,7186.495294117647
118946_1038825,2021,6771.168000000001
118946_1038825,2022,6475.643215686275
118946_1038825,2023,7682.962588235295
118946_1038825,2024,5664.776117647059
118946_1063825,2019,9023.208196078433
118946_1063825,2020,7570.961450980392
118946_1063825,2021,7804.256274509806
118946_1063825,2022,8166.581764705885
118946_1063825,2023,8658.780117647058
118946_1063825,2024,6809.5900784313735
118946_1088825,2019,3200.057098039216
118946_1088825,2020,3125.7461176470592
118946_1088825,2021,3271.5516078431365
118946_1088825,2022,3265.460705882353
118946_1088825,2023,3313.899725490195
118946_1088825,2024,2643.037764705882
118946_1113825,2019,4.88
118946_1113825,2020,2.9625098039215687
118946_1113825,2021,5.33
118946_1113825,2022,6.1472549019607845
118946_1113825,2023,6.15
118946_1113825,2024,0.5900392156862745
118946_1138825,2019,26.678196078431373
118946_1138825,2020,3.2
118946_1138825,2021,7.81
118946_1138825,2022,18.142352941176476
118946_1138825,2023,8.75
118946_1138825,2024,6.67
118946_1163825,2019,586.3581960784315
118946_1163825,2020,620.6769411764707
118946_1163825,2021,781.7100392156866
118946_1163825,2022,721.8132156862748
118946_1163825,2023,812.1850588235299
118946_1163825,2024,537.6428235294119
118946_1188825,2019,13488.487960784314
118946_1188825,2020,12458.424980392158
118946_1188825,2021,13558.040156862746
118946_1188825,2022,13581.383568627449
118946_1188825,2023,13904.719215686277
118946_1188825,2024,12314.77094117647
118946_1213825,2019,149.97121568627452
118946_1213825,2020,107.072
118946_1213825,2021,167.9101568627451
118946_1213825,2022,167.63843137254904
118946_1213825,2023,169.68792156862747
118946_1213825,2024,87.8975294117647
118946_1238825,2019,129.04180392156863
118946_1238825,2020,2.92
118946_1238825,2021,52.44341176470588
118946_1238825,2022,21.679882352941178
118946_1238825,2023,58.17164705882353
118946_1238825,2024,0.34
118946_1263825,2019,444.01019607843136
118946_1263825,2020,38.23
118946_1263825,2021,226.11101960784316
118946_1263825,2022,119.1227843137255
118946_1263825,2023,87.93396078431373
118946_1263825,2024,21.050392156862745
118946_1288825,2019,96.25964705882356
118946_1288825,2020,4.49
118946_1288825,2021,11.381803921568627
118946_1288825,2022,16.04
118946_1288825,2023,15.609254901960783
118946_1288825,2024,0.37
