,Unnamed: 0,tile_id,year,conflict_intensity,crop_change_ha,crop_change_pct
0,0,93946_1313825,2020,0.0,-1425.711921568628,-92.79830231297555
1,1,93946_1338825,2020,0.0,-3042.316431372549,-99.37318439695726
2,2,93946_1363825,2020,0.0,-1662.9139215686278,-98.80571397880857
3,3,93946_1388825,2020,0.0,-1250.8432156862746,-98.64649282382491
6,6,118946_1363825,2020,0.0,-1290.511176470588,-98.67491555459603
7,7,118946_1388825,2020,0.0,-1252.9035686274512,-98.0843746195087
8,8,118946_1413825,2020,0.0,-6833.8091372549015,-76.40929142272881
9,9,143946_1338825,2020,0.0,-2792.749764705883,-86.67397445775853
10,10,143946_1363825,2020,0.0,-4768.086000000002,-85.99157547560033
11,11,143946_1388825,2020,0.0,-6625.035529411764,-91.62028786472305
12,12,143946_1413825,2020,0.0,-6703.005215686275,-78.92533036913389
13,13,143946_1438825,2020,0.0,-5767.970313725489,-53.445297794481306
14,14,168946_1313825,2020,4.620173752177701,-1256.8636862745102,-70.2309193088976
15,15,168946_1338825,2020,0.0,-6976.758980392158,-77.82234537737229
16,16,168946_1363825,2020,0.0,-2037.5996078431367,-71.81001226534174
17,17,168946_1388825,2020,0.0,-5115.126235294118,-76.70931626643622
18,18,168946_1413825,2020,0.0,-11668.421176470587,-66.51478137362827
19,19,168946_1438825,2020,0.0,-16155.278000000002,-80.49335280184391
20,20,168946_1463825,2020,0.0,-14446.457568627411,-60.17551995667123
21,21,168946_1488825,2020,0.0,-11914.643450980398,-41.37320425020247
22,22,168946_1513825,2020,0.0,4156.07733333332,11.354510795792528
23,23,168946_1538825,2020,0.0,3943.6952549019625,9.887417363984197
25,25,193946_1188825,2020,0.375240236096325,-2774.416980392154,-21.00416839960563
26,26,193946_1213825,2020,0.2507779474071048,-1040.2478823529436,-7.168895335729819
27,27,193946_1238825,2020,0.0,-1823.2611372549018,-79.09473019914016
28,28,193946_1263825,2020,0.0,-2620.3154901960793,-40.351340743623176
29,29,193946_1288825,2020,0.0,-1187.993725490196,-28.846319019234446
30,30,193946_1313825,2020,4.886394637760851,-3452.3179215686278,-75.91020632152396
31,31,193946_1338825,2020,0.0,-5889.845882352941,-54.09239687742834
32,32,193946_1363825,2020,0.0,-1491.1267843137248,-32.88695021965883
33,33,193946_1388825,2020,0.0,-4160.689019607844,-83.82704789763625
34,34,193946_1413825,2020,0.0,-9122.751098039218,-67.41958993996626
35,35,193946_1438825,2020,0.0,-11779.797137254905,-79.54938552821204
36,36,193946_1463825,2020,0.0,-17023.896313725432,-58.79732507869721
37,37,193946_1488825,2020,0.0,-11886.423764705876,-48.80119792797642
38,38,193946_1513825,2020,0.0,-9716.163725490132,-30.754868123256472
39,39,193946_1538825,2020,0.2558872996743273,-5751.758901960784,-18.77890131780471
40,40,193946_1563825,2020,0.0,73.26149019609147,0.1328568686669085
41,41,193946_1588825,2020,0.0,1507.7009019607576,3.437748169930055
43,43,218946_1188825,2020,0.7325181498220035,-850.7688627450952,-3.484665949743526
44,44,218946_1213825,2020,0.9532365791681608,-2011.2127450980115,-5.601053224960273
45,45,218946_1238825,2020,0.3989778618581581,-2559.8396078431397,-8.748947173880373
46,46,218946_1263825,2020,0.0,-1887.327098039208,-11.4658981864854
47,47,218946_1288825,2020,0.0,-1951.2916862745114,-22.769148401534757
48,48,218946_1313825,2020,0.0,-2185.6879215686276,-33.99828213492362
49,49,218946_1338825,2020,0.0,-3000.5751764705883,-37.89653123712012
50,50,218946_1363825,2020,0.0,-1042.885803921569,-48.43459880108215
51,51,218946_1388825,2020,0.0,-1620.5579607843142,-79.04921557419344
52,52,218946_1413825,2020,0.0,-4181.553764705883,-73.22139564390271
53,53,218946_1438825,2020,0.0498705239875682,-7664.016117647063,-72.92460725230694
54,54,218946_1463825,2020,0.0,-6743.502588235295,-70.87354338956914
55,55,218946_1488825,2020,0.0,-7169.060823529414,-57.852550604796505
56,56,218946_1513825,2020,1.2785440633722691,-8718.273098039208,-40.16740739436383
57,57,218946_1538825,2020,0.7881862436519407,-8063.509333333317,-23.0415224968749
58,58,218946_1563825,2020,84.10020789923101,170.4975294117612,0.380946433941598
59,59,218946_1588825,2020,42.98805699121287,1927.7141568627048,4.772191358595035
60,60,243946_1163825,2020,0.0,-2004.2152156862721,-27.105572302889346
61,61,243946_1188825,2020,0.0,-4448.444196078428,-12.05685913131964
62,62,243946_1213825,2020,0.0,-4353.931215686251,-10.074464441545317
63,63,243946_1238825,2020,0.0,-3680.2985882352878,-10.6311520535046
64,64,243946_1263825,2020,0.0,-1384.827176470586,-3.64947528810714
65,65,243946_1288825,2020,0.0,-439.67266666667274,-1.5523456291810844
66,66,243946_1313825,2020,0.0,-2422.231058823527,-8.176169907458931
67,67,243946_1338825,2020,0.0,-1043.190705882378,-2.375810384463828
68,68,243946_1363825,2020,0.0,-1033.4425882352953,-7.346324968373452
69,69,243946_1388825,2020,0.0,-2489.934039215687,-49.061603874701376
70,70,243946_1413825,2020,0.0,-2266.1189803921575,-41.783245934749466
71,71,243946_1438825,2020,0.1293236779940266,-2935.7917254901954,-46.909735126043785
72,72,243946_1463825,2020,0.0454844955535876,-8844.140156862748,-68.9883807282736
73,73,243946_1488825,2020,0.0,-10067.83937254902,-81.88437746792678
74,74,243946_1513825,2020,20.84256500158206,-6951.8580784313735,-63.106246890941286
75,75,243946_1538825,2020,0.0,-8154.446156862756,-38.97510088091223
76,76,243946_1563825,2020,31.160351346731726,-1953.1726666666855,-12.420737560773464
