,tile_id,year,conflict_intensity
0,93946_1313825,2020,0.0
1,93946_1338825,2020,0.0
2,93946_1363825,2020,0.0
3,93946_1388825,2020,0.0
4,118946_1313825,2020,0.0
5,118946_1338825,2020,0.0
6,118946_1363825,2020,0.0
7,118946_1388825,2020,0.0
8,118946_1413825,2020,0.0
9,143946_1338825,2020,0.0
10,143946_1363825,2020,0.0
11,143946_1388825,2020,0.0
12,143946_1413825,2020,0.0
13,143946_1438825,2020,0.0
14,168946_1313825,2020,4.620173752177701
15,168946_1338825,2020,0.0
16,168946_1363825,2020,0.0
17,168946_1388825,2020,0.0
18,168946_1413825,2020,0.0
19,168946_1438825,2020,0.0
20,168946_1463825,2020,0.0
21,168946_1488825,2020,0.0
22,168946_1513825,2020,0.0
23,168946_1538825,2020,0.0
24,193946_1163825,2020,0.0
25,193946_1188825,2020,0.37524023609632506
26,193946_1213825,2020,0.2507779474071048
27,193946_1238825,2020,0.0
28,193946_1263825,2020,0.0
29,193946_1288825,2020,0.0
30,193946_1313825,2020,4.886394637760851
31,193946_1338825,2020,0.0
32,193946_1363825,2020,0.0
33,193946_1388825,2020,0.0
34,193946_1413825,2020,0.0
35,193946_1438825,2020,0.0
36,193946_1463825,2020,0.0
37,193946_1488825,2020,0.0
38,193946_1513825,2020,0.0
39,193946_1538825,2020,0.25588729967432733
40,193946_1563825,2020,0.0
41,193946_1588825,2020,0.0
42,218946_1163825,2020,0.0
43,218946_1188825,2020,0.7325181498220035
44,218946_1213825,2020,0.9532365791681608
45,218946_1238825,2020,0.3989778618581581
46,218946_1263825,2020,0.0
47,218946_1288825,2020,0.0
48,218946_1313825,2020,0.0
49,218946_1338825,2020,0.0
50,218946_1363825,2020,0.0
51,218946_1388825,2020,0.0
52,218946_1413825,2020,0.0
53,218946_1438825,2020,0.04987052398756821
54,218946_1463825,2020,0.0
55,218946_1488825,2020,0.0
56,218946_1513825,2020,1.2785440633722693
57,218946_1538825,2020,0.7881862436519407
58,218946_1563825,2020,84.10020789923101
59,218946_1588825,2020,42.988056991212865
60,243946_1163825,2020,0.0
61,243946_1188825,2020,0.0
62,243946_1213825,2020,0.0
63,243946_1238825,2020,0.0
64,243946_1263825,2020,0.0
65,243946_1288825,2020,0.0
66,243946_1313825,2020,0.0
67,243946_1338825,2020,0.0
68,243946_1363825,2020,0.0
69,243946_1388825,2020,0.0
70,243946_1413825,2020,0.0
71,243946_1438825,2020,0.12932367799402666
72,243946_1463825,2020,0.045484495553587634
73,243946_1488825,2020,0.0
74,243946_1513825,2020,20.84256500158206
75,243946_1538825,2020,0.0
76,243946_1563825,2020,31.160351346731726
77,243946_1588825,2020,5.5656309473249905
78,268946_1138825,2020,0.0
79,268946_1163825,2020,0.0
80,268946_1188825,2020,0.0
81,268946_1213825,2020,0.0
82,268946_1238825,2020,0.0
83,268946_1263825,2020,0.0
84,268946_1288825,2020,0.0
85,268946_1313825,2020,0.0
86,268946_1338825,2020,0.0
87,268946_1363825,2020,0.0
88,268946_1388825,2020,0.0
89,268946_1413825,2020,0.0
90,268946_1438825,2020,0.0
91,268946_1463825,2020,0.0
92,268946_1488825,2020,0.0
93,268946_1513825,2020,485.4118979097172
94,268946_1538825,2020,0.0
95,268946_1563825,2020,0.0
96,268946_1588825,2020,0.0
97,293946_1113825,2020,0.0
98,293946_1138825,2020,0.0
99,293946_1163825,2020,0.0
100,293946_1188825,2020,0.0
101,293946_1213825,2020,0.0
102,293946_1238825,2020,0.0
103,293946_1263825,2020,0.0
104,293946_1288825,2020,0.0
105,293946_1313825,2020,0.0
106,293946_1338825,2020,0.0
107,293946_1363825,2020,0.0
108,293946_1388825,2020,0.0
109,293946_1413825,2020,0.0
110,293946_1438825,2020,0.29122951220911064
111,293946_1463825,2020,0.22907300677625902
112,293946_1488825,2020,0.0
113,293946_1513825,2020,0.0
114,293946_1538825,2020,0.0
115,293946_1563825,2020,0.0
116,293946_1588825,2020,0.0
117,293946_1613825,2020,0.0
118,318946_1113825,2020,0.0
119,318946_1138825,2020,0.0
120,318946_1163825,2020,0.0
121,318946_1188825,2020,0.0
122,318946_1213825,2020,0.0
123,318946_1238825,2020,0.0
124,318946_1263825,2020,0.0
125,318946_1288825,2020,0.0
126,318946_1313825,2020,0.0
127,318946_1338825,2020,0.0
128,318946_1363825,2020,0.0
129,318946_1388825,2020,0.22590382166159714
130,318946_1413825,2020,0.4739581384021054
131,318946_1438825,2020,0.1994936296088751
132,318946_1463825,2020,0.1756456990537795
133,318946_1488825,2020,0.0
134,318946_1513825,2020,0.0
135,318946_1538825,2020,0.1400601245066659
136,318946_1563825,2020,0.12441943720899235
137,318946_1588825,2020,0.0
138,318946_1613825,2020,0.0
139,343946_1088825,2020,0.0
140,343946_1113825,2020,0.0
141,343946_1138825,2020,0.0
142,343946_1163825,2020,0.0
143,343946_1188825,2020,0.0
144,343946_1213825,2020,0.0
145,343946_1238825,2020,0.0
146,343946_1263825,2020,0.0
147,343946_1288825,2020,0.0
148,343946_1313825,2020,0.0
149,343946_1338825,2020,0.0
150,343946_1363825,2020,0.0
151,343946_1388825,2020,0.0
152,343946_1413825,2020,0.16031170916400944
153,343946_1438825,2020,0.45001619697832856
154,343946_1463825,2020,0.31497521263608586
155,343946_1488825,2020,0.0
156,343946_1513825,2020,0.0
157,343946_1538825,2020,0.23483291726626246
158,343946_1563825,2020,0.17750917628774732
159,343946_1588825,2020,0.0
160,343946_1613825,2020,0.0
161,343946_1638825,2020,0.0
162,368946_1113825,2020,0.0
163,368946_1138825,2020,0.0
164,368946_1163825,2020,0.0
165,368946_1188825,2020,0.0
166,368946_1213825,2020,0.0
167,368946_1238825,2020,0.0
168,368946_1263825,2020,0.0
169,368946_1288825,2020,0.0
170,368946_1313825,2020,0.0
171,368946_1338825,2020,0.0
172,368946_1363825,2020,0.0
173,368946_1388825,2020,0.0
174,368946_1413825,2020,0.0
175,368946_1438825,2020,0.3220665087459559
176,368946_1463825,2020,0.26003061946220435
177,368946_1488825,2020,0.0
178,368946_1513825,2020,0.0
179,368946_1538825,2020,0.0
180,368946_1563825,2020,1.5348187955542354
181,368946_1588825,2020,2.04423966807945
182,368946_1613825,2020,1.9723386185904273
183,368946_1638825,2020,0.0
184,393946_1113825,2020,0.0
185,393946_1138825,2020,0.0
186,393946_1163825,2020,0.0
187,393946_1188825,2020,0.0
188,393946_1213825,2020,0.0
189,393946_1238825,2020,0.0
190,393946_1263825,2020,0.0
191,393946_1288825,2020,0.0
192,393946_1313825,2020,0.0
193,393946_1338825,2020,0.0
194,393946_1363825,2020,0.0
195,393946_1388825,2020,0.0
196,393946_1413825,2020,0.0
197,393946_1438825,2020,0.0
198,393946_1463825,2020,0.0
199,393946_1488825,2020,0.0
200,393946_1513825,2020,0.0
201,393946_1538825,2020,0.0
202,393946_1563825,2020,0.9896415058383596
203,393946_1588825,2020,0.2314322637061904
204,393946_1613825,2020,0.8306290540929497
205,393946_1638825,2020,0.0
206,418946_1138825,2020,0.0
207,418946_1163825,2020,0.0
208,418946_1188825,2020,0.0
209,418946_1213825,2020,0.0
210,418946_1238825,2020,0.0
211,418946_1263825,2020,0.0
212,418946_1288825,2020,0.0
213,418946_1313825,2020,0.0
214,418946_1338825,2020,0.0
215,418946_1363825,2020,0.0
216,418946_1388825,2020,0.0
217,418946_1413825,2020,0.0
218,418946_1438825,2020,0.0
219,418946_1463825,2020,0.0
220,418946_1488825,2020,0.0
221,418946_1513825,2020,0.0
222,418946_1538825,2020,0.0
223,418946_1563825,2020,0.32787417665086277
224,418946_1588825,2020,0.30438530341396963
225,418946_1613825,2020,0.0
226,418946_1638825,2020,0.0
227,443946_1113825,2020,0.0
228,443946_1163825,2020,0.0
229,443946_1188825,2020,0.0
230,443946_1213825,2020,0.0
231,443946_1238825,2020,0.0
232,443946_1263825,2020,0.0
233,443946_1288825,2020,0.0
234,443946_1313825,2020,0.0
235,443946_1338825,2020,0.0
236,443946_1363825,2020,0.0
237,443946_1388825,2020,0.0
238,443946_1413825,2020,0.0
239,443946_1438825,2020,0.0
240,443946_1463825,2020,0.0
241,443946_1488825,2020,0.0
242,443946_1513825,2020,0.0
243,443946_1538825,2020,0.0
244,443946_1563825,2020,0.5469909529291082
245,443946_1588825,2020,0.46331210407602996
246,443946_1613825,2020,0.0
247,468946_1088825,2020,0.0
248,468946_1113825,2020,0.0
249,468946_1138825,2020,0.0
250,468946_1163825,2020,0.0
251,468946_1188825,2020,0.0
252,468946_1213825,2020,0.0
253,468946_1238825,2020,0.0
254,468946_1263825,2020,0.0
255,468946_1288825,2020,0.0
256,468946_1313825,2020,0.0
257,468946_1338825,2020,0.13023514215544196
258,468946_1363825,2020,0.0
259,468946_1388825,2020,0.0
260,468946_1413825,2020,0.0
261,468946_1438825,2020,0.0
262,468946_1463825,2020,0.0
263,468946_1488825,2020,0.0
264,468946_1513825,2020,1.683648694206652
265,468946_1538825,2020,1.6336898001601363
266,468946_1563825,2020,3.528808643076505
267,468946_1588825,2020,3.4949386795951733
268,468946_1613825,2020,0.0
269,493946_1088825,2020,0.0
270,493946_1113825,2020,0.0
271,493946_1138825,2020,0.0
272,493946_1163825,2020,0.0
273,493946_1188825,2020,0.0
274,493946_1213825,2020,0.0
275,493946_1238825,2020,0.0
276,493946_1263825,2020,0.0
277,493946_1288825,2020,0.0
278,493946_1313825,2020,0.0
279,493946_1338825,2020,0.605892371438011
280,493946_1363825,2020,0.13693877723800735
281,493946_1388825,2020,0.0
282,493946_1413825,2020,0.0
283,493946_1438825,2020,0.0
284,493946_1463825,2020,0.0
285,493946_1488825,2020,0.0
286,493946_1513825,2020,1.2294728873660838
287,493946_1538825,2020,1.5463955846891744
288,493946_1563825,2020,2.4988603705753327
289,493946_1588825,2020,2.710643723902544
290,493946_1613825,2020,0.6652304009098364
291,493946_1638825,2020,0.0
292,518946_988825,2020,0.0
293,518946_1013825,2020,0.0
294,518946_1038825,2020,0.0
295,518946_1063825,2020,0.0
296,518946_1088825,2020,0.0
297,518946_1113825,2020,0.0
298,518946_1138825,2020,0.0
299,518946_1163825,2020,0.0
300,518946_1188825,2020,0.0
301,518946_1213825,2020,0.0
302,518946_1238825,2020,0.0
303,518946_1263825,2020,0.0
304,518946_1288825,2020,0.0
305,518946_1313825,2020,0.0
306,518946_1338825,2020,0.0
307,518946_1363825,2020,0.0
308,518946_1388825,2020,0.0
309,518946_1413825,2020,0.0
310,518946_1438825,2020,0.0
311,518946_1463825,2020,0.0
312,518946_1488825,2020,0.5171772126404928
313,518946_1513825,2020,1.0164257647479236
314,518946_1538825,2020,0.0
315,518946_1563825,2020,0.0
316,518946_1588825,2020,7.977901694376346
317,518946_1613825,2020,0.7955399996363967
318,543946_988825,2020,0.0
319,543946_1013825,2020,0.0
320,543946_1038825,2020,0.0
321,543946_1063825,2020,0.0
322,543946_1088825,2020,0.0
323,543946_1113825,2020,0.0
324,543946_1138825,2020,0.0
325,543946_1163825,2020,0.0
326,543946_1188825,2020,0.0
327,543946_1213825,2020,0.0
328,543946_1238825,2020,0.07277860974514974
329,543946_1263825,2020,0.04041866029604578
330,543946_1288825,2020,0.0
331,543946_1313825,2020,0.0
332,543946_1338825,2020,0.09276886190379909
333,543946_1363825,2020,0.13125281707997916
